pattern,strategy,turn,player_action,intent_type,joy_before,trust_before,fear_before,surprise_before,sadness_before,disgust_before,anger_before,anticipation_before,valence_before,arousal_before,dominant_emotion_before,selected_behavior,behavior_type,base_priority,emotional_modifier,effective_priority,priority_override,joy_after,trust_after,fear_after,surprise_after,sadness_after,disgust_after,anger_after,anticipation_after,valence_after,arousal_after,dominant_emotion_after
Escalating Aggression,emotion_modulated,15,Player insults NPC's intelligence/appearance (turn 15),Hostile,0.000,0.000,0.410,0.000,0.000,0.000,-0.410,0.000,0.000,0.102,anger,ThoughtfulPauseBehavior,neutral,12,0,12,false,0.000,0.000,0.410,0.000,0.000,0.000,-0.410,0.000,0.000,0.102,anger
Escalating Aggression,emotion_modulated,16,Player insults NPC's intelligence/appearance (turn 16),Hostile,0.000,0.000,0.469,0.000,0.000,0.000,-0.469,0.000,0.000,0.117,anger,ThoughtfulPauseBehavior,neutral,12,0,12,false,0.000,0.000,0.469,0.000,0.000,0.000,-0.469,0.000,0.000,0.117,anger
Escalating Aggression,emotion_modulated,17,Player insults NPC's intelligence/appearance (turn 17),Hostile,0.000,0.000,0.522,0.000,0.000,0.000,-0.522,0.000,0.000,0.130,anger,ThoughtfulPauseBehavior,neutral,12,0,12,false,0.000,0.000,0.522,0.000,0.000,0.000,-0.522,0.000,0.000,0.130,anger
Escalating Aggression,emotion_modulated,18,Player insults NPC's intelligence/appearance (turn 18),Hostile,0.000,0.000,0.570,0.000,0.000,0.000,-0.570,0.000,0.000,0.142,anger,ThoughtfulPauseBehavior,neutral,12,0,12,false,0.000,0.000,0.570,0.000,0.000,0.000,-0.570,0.000,0.000,0.142,anger
Escalating Aggression,emotion_modulated,19,Player insults NPC's intelligence/appearance (turn 19),Hostile,0.000,0.000,0.613,0.000,0.000,0.000,-0.613,0.000,0.000,0.153,anger,ThoughtfulPauseBehavior,neutral,12,0,12,false,0.000,0.000,0.613,0.000,0.000,0.000,-0.613,0.000,0.000,0.153,anger
Escalating Aggression,emotion_modulated,20,Player insults NPC's intelligence/appearance (turn 20),Hostile,0.000,0.000,0.651,0.000,0.000,0.000,-0.651,0.000,0.000,0.163,anger,ThoughtfulPauseBehavior,neutral,12,0,12,false,0.000,0.000,0.651,0.000,0.000,0.000,-0.651,0.000,0.000,0.163,anger
Escalating Aggression,emotion_modulated,21,Player threatens physical harm (turn 21),Threat,0.000,0.000,0.686,0.000,0.000,0.000,-0.686,0.000,0.000,0.172,anger,ThoughtfulPauseBehavior,neutral,12,0,12,false,0.000,0.000,0.686,0.000,0.000,0.000,-0.686,0.000,0.000,0.172,anger
Escalating Aggression,emotion_modulated,22,Player threatens physical harm (turn 22),Threat,0.000,0.000,0.718,0.000,0.000,0.000,-0.718,0.000,0.000,0.179,anger,ThoughtfulPauseBehavior,neutral,12,0,12,false,0.000,0.000,0.718,0.000,0.000,0.000,-0.718,0.000,0.000,0.179,anger
Escalating Aggression,emotion_modulated,23,Player threatens physical harm (turn 23),Threat,0.000,0.000,0.746,0.000,0.000,0.000,-0.746,0.000,0.000,0.186,anger,ThoughtfulPauseBehavior,neutral,12,0,12,false,0.000,0.000,0.746,0.000,0.000,0.000,-0.746,0.000,0.000,0.186,anger
Escalating Aggression,emotion_modulated,24,Player threatens physical harm (turn 24),Threat,0.000,0.000,0.771,0.000,0.000,0.000,-0.771,0.000,0.000,0.193,anger,ThoughtfulPauseBehavior,neutral,12,0,12,false,0.000,0.000,0.771,0.000,0.000,0.000,-0.771,0.000,0.000,0.193,anger
Escalating Aggression,emotion_modulated,25,Player threatens physical harm (turn 25),Threat,0.000,0.000,0.794,0.000,0.000,0.000,-0.794,0.000,0.000,0.199,anger,ThoughtfulPauseBehavior,neutral,12,0,12,false,0.000,0.000,0.794,0.000,0.000,0.000,-0.794,0.000,0.000,0.199,anger
Escalating Aggression,emotion_modulated,26,Player threatens physical harm (turn 26),Threat,0.000,0.000,0.800,0.000,0.000,0.000,-0.800,0.000,0.000,0.200,anger,ThoughtfulPauseBehavior,neutral,12,0,12,false,0.000,0.000,0.800,0.000,0.000,0.000,-0.800,0.000,0.000,0.200,anger
Escalating Aggression,emotion_modulated,27,Player threatens physical harm (turn 27),Threat,0.000,0.000,0.800,0.000,0.000,0.000,-0.800,0.000,0.000,0.200,anger,ThoughtfulPauseBehavior,neutral,12,0,12,false,0.000,0.000,0.800,0.000,0.000,0.000,-0.800,0.000,0.000,0.200,anger
Escalating Aggression,emotion_modulated,28,Player threatens physical harm (turn 28),Threat,0.000,0.000,0.800,0.000,0.000,0.000,-0.800,0.000,0.000,0.200,anger,ThoughtfulPauseBehavior,neutral,12,0,12,false,0.000,0.000,0.800,0.000,0.000,0.000,-0.800,0.000,0.000,0.200,anger
Escalating Aggression,emotion_modulated,29,Player threatens physical harm (turn 29),Threat,0.000,0.000,0.800,0.000,0.000,0.000,-0.800,0.000,0.000,0.200,anger,ThoughtfulPauseBehavior,neutral,12,0,12,false,0.000,0.000,0.800,0.000,0.000,0.000,-0.800,0.000,0.000,0.200,anger
Escalating Aggression,emotion_modulated,30,Player threatens physical harm (turn 30),Threat,0.000,0.000,0.800,0.000,0.000,0.000,-0.800,0.000,0.000,0.200,anger,ThoughtfulPauseBehavior,neutral,12,0,12,false,0.000,0.000,0.800,0.000,0.000,0.000,-0.800,0.000,0.000,0.200,anger
Escalating Aggression,fixed_priority,1,Player asks neutral question about the area (turn 1),Query,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,anticipation,CautiousBehavior,emotional,40,0,40,false,0.000,0.000,-0.050,-0.100,0.000,0.000,0.050,0.100,0.014,0.038,anticipation
Escalating Aggression,fixed_priority,2,Player asks neutral question about the area (turn 2),Query,0.000,0.000,-0.045,-0.090,0.000,0.000,0.045,0.090,0.013,0.034,anticipation,CautiousBehavior,emotional,40,0,40,false,0.000,0.000,-0.095,-0.190,0.000,0.000,0.095,0.190,0.027,0.071,anticipation
Escalating Aggression,fixed_priority,3,Player asks neutral question about the area (turn 3),Query,0.000,0.000,-0.085,-0.171,0.000,0.000,0.085,0.171,0.024,0.064,anticipation,CautiousBehavior,emotional,40,0,40,false,0.000,0.000,-0.135,-0.271,0.000,0.000,0.135,0.271,0.039,0.102,anticipation
Escalating Aggression,fixed_priority,4,Player asks neutral question about the area (turn 4),Query,0.000,0.000,-0.122,-0.244,0.000,0.000,0.122,0.244,0.035,0.091,anticipation,CautiousBehavior,emotional,40,0,40,false,0.000,0.000,-0.172,-0.344,0.000,0.000,0.172,0.344,0.049,0.129,anticipation
Escalating Aggression,fixed_priority,5,Player asks neutral question about the area (turn 5),Query,0.000,0.000,-0.155,-0.310,0.000,0.000,0.155,0.310,0.044,0.116,anticipation,CautiousBehavior,emotional,40,0,40,false,0.000,0.000,-0.205,-0.410,0.000,0.000,0.205,0.410,0.059,0.154,anticipation
Escalating Aggression,fixed_priority,6,Player asks neutral question about the area (turn 6),Query,0.000,0.000,-0.184,-0.369,0.000,0.000,0.184,0.369,0.053,0.138,anticipation,CautiousBehavior,emotional,40,0,40,false,0.000,0.000,-0.234,-0.469,0.000,0.000,0.234,0.469,0.067,0.176,anticipation
Escalating Aggression,fixed_priority,7,Player asks neutral question about the area (turn 7),Query,0.000,0.000,-0.211,-0.422,0.000,0.000,0.211,0.422,0.060,0.158,anticipation,CautiousBehavior,emotional,40,0,40,false,0.000,0.000,-0.261,-0.522,0.000,0.000,0.261,0.522,0.075,0.196,anticipation
Escalating Aggression,fixed_priority,8,Player asks neutral question about the area (turn 8),Query,0.000,0.000,-0.235,-0.470,0.000,0.000,0.235,0.470,0.067,0.176,anticipation,CautiousBehavior,emotional,40,0,40,false,0.000,0.000,-0.285,-0.570,0.000,0.000,0.285,0.570,0.081,0.214,anticipation
Escalating Aggression,fixed_priority,9,Player asks neutral question about the area (turn 9),Query,0.000,0.000,-0.256,-0.513,0.000,0.000,0.256,0.513,0.073,0.192,anticipation,CautiousBehavior,emotional,40,0,40,false,0.000,0.000,-0.306,-0.613,0.000,0.000,0.306,0.613,0.088,0.230,anticipation
Escalating Aggression,fixed_priority,10,Player asks neutral question about the area (turn 10),Query,0.000,0.000,-0.276,-0.551,0.000,0.000,0.276,0.551,0.079,0.207,anticipation,CautiousBehavior,emotional,40,0,40,false,0.000,0.000,-0.326,-0.651,0.000,0.000,0.326,0.651,0.093,0.244,anticipation
Escalating Aggression,fixed_priority,11,Player insults NPC's intelligence/appearance (turn 11),Hostile,0.000,0.000,-0.193,-0.586,0.000,0.000,0.193,0.586,0.084,0.195,anticipation,FleeBehavior { fear_threshold: 0.7 },emotional,100,0,100,false,0.000,0.000,-0.293,-0.786,0.000,0.000,0.293,0.786,0.112,0.270,anticipation
Escalating Aggression,fixed_priority,12,Player insults NPC's intelligence/appearance (turn 12),Hostile,0.000,0.000,-0.164,-0.708,0.000,0.000,0.164,0.708,0.101,0.218,anticipation,FleeBehavior { fear_threshold: 0.7 },emotional,100,0,100,false,0.000,0.000,-0.264,-0.908,0.000,0.000,0.264,0.908,0.130,0.293,anticipation
Escalating Aggression,fixed_priority,13,Player insults NPC's intelligence/appearance (turn 13),Hostile,0.000,0.000,-0.137,-0.817,0.000,0.000,0.137,0.817,0.117,0.239,anticipation,FleeBehavior { fear_threshold: 0.7 },emotional,100,0,100,false,0.000,0.000,-0.237,-1.000,0.000,0.000,0.237,1.000,0.143,0.309,anticipation
Escalating Aggression,fixed_priority,14,Player insults NPC's intelligence/appearance (turn 14),Hostile,0.000,0.000,-0.114,-0.900,0.000,0.000,0.114,0.900,0.129,0.253,anticipation,FleeBehavior { fear_threshold: 0.7 },emotional,100,0,100,false,0.000,0.000,-0.214,-1.000,0.000,0.000,0.214,1.000,0.143,0.303,anticipation
Escalating Aggression,fixed_priority,15,Player insults NPC's intelligence/appearance (turn 15),Hostile,0.000,0.000,-0.092,-0.900,0.000,0.000,0.092,0.900,0.129,0.248,anticipation,FleeBehavior { fear_threshold: 0.7 },emotional,100,0,100,false,0.000,0.000,-0.192,-1.000,0.000,0.000,0.192,1.000,0.143,0.298,anticipation
Escalating Aggression,fixed_priority,16,Player insults NPC's intelligence/appearance (turn 16),Hostile,0.000,0.000,-0.073,-0.900,0.000,0.000,0.073,0.900,0.129,0.243,anticipation,FleeBehavior { fear_threshold: 0.7 },emotional,100,0,100,false,0.000,0.000,-0.173,-1.000,0.000,0.000,0.173,1.000,0.143,0.293,anticipation
Escalating Aggression,fixed_priority,17,Player insults NPC's intelligence/appearance (turn 17),Hostile,0.000,0.000,-0.056,-0.900,0.000,0.000,0.056,0.900,0.129,0.239,anticipation,FleeBehavior { fear_threshold: 0.7 },emotional,100,0,100,false,0.000,0.000,-0.156,-1.000,0.000,0.000,0.156,1.000,0.143,0.289,anticipation
Escalating Aggression,fixed_priority,18,Player insults NPC's intelligence/appearance (turn 18),Hostile,0.000,0.000,-0.040,-0.900,0.000,0.000,0.040,0.900,0.129,0.235,anticipation,FleeBehavior { fear_threshold: 0.7 },emotional,100,0,100,false,0.000,0.000,-0.140,-1.000,0.000,0.000,0.140,1.000,0.143,0.285,anticipation
Escalating Aggression,fixed_priority,19,Player insults NPC's intelligence/appearance (turn 19),Hostile,0.000,0.000,-0.026,-0.900,0.000,0.000,0.026,0.900,0.129,0.232,anticipation,FleeBehavior { fear_threshold: 0.7 },emotional,100,0,100,false,0.000,0.000,-0.126,-1.000,0.000,0.000,0.126,1.000,0.143,0.282,anticipation
Escalating Aggression,fixed_priority,20,Player insults NPC's intelligence/appearance (turn 20),Hostile,0.000,0.000,-0.014,-0.900,0.000,0.000,0.014,0.900,0.129,0.228,anticipation,FleeBehavior { fear_threshold: 0.7 },emotional,100,0,100,false,0.000,0.000,-0.114,-1.000,0.000,0.000,0.114,1.000,0.143,0.278,anticipation
Escalating Aggression,fixed_priority,21,Player threatens physical harm (turn 21),Threat,0.000,0.000,-0.002,-0.900,0.000,0.000,0.002,0.900,0.129,0.226,anticipation,FleeBehavior { fear_threshold: 0.7 },emotional,100,0,100,false,0.000,0.000,-0.102,-1.000,0.000,0.000,0.102,1.000,0.143,0.276,anticipation
Escalating Aggression,fixed_priority,22,Player threatens physical harm (turn 22),Threat,0.000,0.000,0.008,-0.900,0.000,0.000,-0.008,0.900,0.129,0.227,anticipation,FleeBehavior { fear_threshold: 0.7 },emotional,100,0,100,false,0.000,0.000,-0.092,-1.000,0.000,0.000,0.092,1.000,0.143,0.273,anticipation
Escalating Aggression,fixed_priority,23,Player threatens physical harm (turn 23),Threat,0.000,0.000,0.017,-0.900,0.000,0.000,-0.017,0.900,0.129,0.229,anticipation,FleeBehavior { fear_threshold: 0.7 },emotional,100,0,100,false,0.000,0.000,-0.083,-1.000,0.000,0.000,0.083,1.000,0.143,0.271,anticipation
Escalating Aggression,fixed_priority,24,Player threatens physical harm (turn 24),Threat,0.000,0.000,0.025,-0.900,0.000,0.000,-0.025,0.900,0.129,0.231,anticipation,FleeBehavior { fear_threshold: 0.7 },emotional,100,0,100,false,0.000,0.000,-0.075,-1.000,0.000,0.000,0.075,1.000,0.143,0.269,anticipation
Escalating Aggression,fixed_priority,25,Player threatens physical harm (turn 25),Threat,0.000,0.000,0.033,-0.900,0.000,0.000,-0.033,0.900,0.129,0.233,anticipation,FleeBehavior { fear_threshold: 0.7 },emotional,100,0,100,false,0.000,0.000,-0.067,-1.000,0.000,0.000,0.067,1.000,0.143,0.267,anticipation
Escalating Aggression,fixed_priority,26,Player threatens physical harm (turn 26),Threat,0.000,0.000,0.040,-0.900,0.000,0.000,-0.040,0.900,0.129,0.235,anticipation,FleeBehavior { fear_threshold: 0.7 },emotional,100,0,100,false,0.000,0.000,-0.060,-1.000,0.000,0.000,0.060,1.000,0.143,0.265,anticipation
Escalating Aggression,fixed_priority,27,Player threatens physical harm (turn 27),Threat,0.000,0.000,0.046,-0.900,0.000,0.000,-0.046,0.900,0.129,0.236,anticipation,FleeBehavior { fear_threshold: 0.7 },emotional,100,0,100,false,0.000,0.000,-0.054,-1.000,0.000,0.000,0.054,1.000,0.143,0.264,anticipation
Escalating Aggression,fixed_priority,28,Player threatens physical harm (turn 28),Threat,0.000,0.000,0.051,-0.900,0.000,0.000,-0.051,0.900,0.129,0.238,anticipation,FleeBehavior { fear_threshold: 0.7 },emotional,100,0,100,false,0.000,0.000,-0.049,-1.000,0.000,0.000,0.049,1.000,0.143,0.262,anticipation
Escalating Aggression,fixed_priority,29,Player threatens physical harm (turn 29),Threat,0.000,0.000,0.056,-0.900,0.000,0.000,-0.056,0.900,0.129,0.239,anticipation,FleeBehavior { fear_threshold: 0.7 },emotional,100,0,100,false,0.000,0.000,-0.044,-1.000,0.000,0.000,0.044,1.000,0.143,0.261,anticipation
Escalating Aggression,fixed_priority,30,Player threatens physical harm (turn 30),Threat,0.000,0.000,0.060,-0.900,0.000,0.000,-0.060,0.900,0.129,0.240,anticipation,FleeBehavior { fear_threshold: 0.7 },emotional,100,0,100,false,0.000,0.000,-0.040,-1.000,0.000,0.000,0.040,1.000,0.143,0.260,anticipation
Escalating Aggression,random_selection,1,Player asks neutral question about the area (turn 1),Query,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,anticipation,ThoughtfulPauseBehavior,neutral,12,0,12,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,anticipation
Escalating Aggression,random_selection,2,Player asks neutral question about the area (turn 2),Query,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,anticipation,CautiousBehavior,emotional,40,0,40,false,0.000,0.000,-0.050,-0.100,0.000,0.000,0.050,0.100,0.014,0.038,anticipation
Escalating Aggression,random_selection,3,Player asks neutral question about the area (turn 3),Query,0.000,0.000,-0.045,-0.090,0.000,0.000,0.045,0.090,0.013,0.034,anticipation,CautiousBehavior,emotional,40,0,40,false,0.000,0.000,-0.095,-0.190,0.000,0.000,0.095,0.190,0.027,0.071,anticipation
Escalating Aggression,random_selection,4,Player asks neutral question about the area (turn 4),Query,0.000,0.000,-0.085,-0.171,0.000,0.000,0.085,0.171,0.024,0.064,anticipation,CautiousBehavior,emotional,40,0,40,false,0.000,0.000,-0.135,-0.271,0.000,0.000,0.135,0.271,0.039,0.102,anticipation
Escalating Aggression,random_selection,5,Player asks neutral question about the area (turn 5),Query,0.000,0.000,-0.122,-0.244,0.000,0.000,0.122,0.244,0.035,0.091,anticipation,DefaultAcknowledgeBehavior,neutral,10,0,10,false,0.000,0.000,-0.122,-0.244,0.000,0.000,0.122,0.244,0.035,0.091,anticipation
Escalating Aggression,random_selection,6,Player asks neutral question about the area (turn 6),Query,0.000,0.000,-0.110,-0.220,0.000,0.000,0.110,0.220,0.031,0.082,anticipation,DefaultAcknowledgeBehavior,neutral,10,0,10,false,0.000,0.000,-0.110,-0.220,0.000,0.000,0.110,0.220,0.031,0.082,anticipation
Escalating Aggression,random_selection,7,Player asks neutral question about the area (turn 7),Query,0.000,0.000,-0.099,-0.198,0.000,0.000,0.099,0.198,0.028,0.074,anticipation,CautiousBehavior,emotional,40,0,40,false,0.000,0.000,-0.149,-0.298,0.000,0.000,0.149,0.298,0.043,0.112,anticipation
Escalating Aggression,random_selection,8,Player asks neutral question about the area (turn 8),Query,0.000,0.000,-0.134,-0.268,0.000,0.000,0.134,0.268,0.038,0.100,anticipation,CautiousBehavior,emotional,40,0,40,false,0.000,0.000,-0.184,-0.368,0.000,0.000,0.184,0.368,0.053,0.138,anticipation
Escalating Aggression,random_selection,9,Player asks neutral question about the area (turn 9),Query,0.000,0.000,-0.166,-0.331,0.000,0.000,0.166,0.331,0.047,0.124,anticipation,ThoughtfulPauseBehavior,neutral,12,0,12,false,0.000,0.000,-0.166,-0.331,0.000,0.000,0.166,0.331,0.047,0.124,anticipation
Escalating Aggression,random_selection,10,Player asks neutral question about the area (turn 10),Query,0.000,0.000,-0.149,-0.298,0.000,0.000,0.149,0.298,0.043,0.112,anticipation,ThoughtfulPauseBehavior,neutral,12,0,12,false,0.000,0.000,-0.149,-0.298,0.000,0.000,0.149,0.298,0.043,0.112,anticipation
Escalating Aggression,random_selection,11,Player insults NPC's intelligence/appearance (turn 11),Hostile,0.000,0.000,-0.034,-0.268,0.000,0.000,0.034,0.268,0.038,0.076,anticipation,ThoughtfulPauseBehavior,neutral,12,0,12,false,0.000,0.000,-0.034,-0.268,0.000,0.000,0.034,0.268,0.038,0.076,anticipation
Escalating Aggression,random_selection,12,Player insults NPC's intelligence/appearance (turn 12),Hostile,0.000,0.000,0.069,-0.241,0.000,0.000,-0.069,0.241,0.034,0.078,anticipation,FleeBehavior { fear_threshold: 0.7 },emotional,100,0,100,false,0.000,0.000,-0.031,-0.441,0.000,0.000,0.031,0.441,0.063,0.118,anticipation
Escalating Aggression,random_selection,13,Player insults NPC's intelligence/appearance (turn 13),Hostile,0.000,0.000,0.072,-0.397,0.000,0.000,-0.072,0.397,0.057,0.117,anticipation,DefaultAcknowledgeBehavior,neutral,10,0,10,false,0.000,0.000,0.072,-0.397,0.000,0.000,-0.072,0.397,0.057,0.117,anticipation
Escalating Aggression,random_selection,14,Player insults NPC's intelligence/appearance (turn 14),Hostile,0.000,0.000,0.165,-0.357,0.000,0.000,-0.165,0.357,0.051,0.131,anticipation,ThoughtfulPauseBehavior,neutral,12,0,12,false,0.000,0.000,0.165,-0.357,0.000,0.000,-0.165,0.357,0.051,0.131,anticipation
Escalating Aggression,random_selection,15,Player insults NPC's intelligence/appearance (turn 15),Hostile,0.000,0.000,0.249,-0.322,0.000,0.000,-0.249,0.322,0.046,0.143,anticipation,AggressiveBehavior { anger_threshold: 0.6 },emotional,80,0,80,false,0.000,-0.200,0.399,-0.322,0.000,0.200,-0.399,0.322,-0.011,0.230,anger
Escalating Aggression,random_selection,16,Player insults NPC's intelligence/appearance (turn 16),Hostile,0.000,-0.180,0.459,-0.290,0.000,0.180,-0.459,0.290,-0.010,0.232,anger,DefaultAcknowledgeBehavior,neutral,10,0,10,false,0.000,-0.180,0.459,-0.290,0.000,0.180,-0.459,0.290,-0.010,0.232,anger
Escalating Aggression,random_selection,17,Player insults NPC's intelligence/appearance (turn 17),Hostile,0.000,-0.162,0.513,-0.261,0.000,0.162,-0.513,0.261,-0.009,0.234,anger,ThoughtfulPauseBehavior,neutral,12,0,12,false,0.000,-0.162,0.513,-0.261,0.000,0.162,-0.513,0.261,-0.009,0.234,anger
Escalating Aggression,random_selection,18,Player insults NPC's intelligence/appearance (turn 18),Hostile,0.000,-0.146,0.562,-0.235,0.000,0.146,-0.562,0.235,-0.008,0.235,anger,AggressiveBehavior { anger_threshold: 0.6 },emotional,80,0,80,false,0.000,-0.346,0.712,-0.235,0.000,0.346,-0.712,0.235,-0.065,0.323,anger
Escalating Aggression,random_selection,19,Player insults NPC's intelligence/appearance (turn 19),Hostile,0.000,-0.311,0.740,-0.211,0.000,0.311,-0.740,0.211,-0.059,0.316,anger,DefaultAcknowledgeBehavior,neutral,10,0,10,false,0.000,-0.311,0.740,-0.211,0.000,0.311,-0.740,0.211,-0.059,0.316,anger
Escalating Aggression,random_selection,20,Player insults NPC's intelligence/appearance (turn 20),Hostile,0.000,-0.280,0.766,-0.190,0.000,0.280,-0.766,0.190,-0.053,0.309,anger,AggressiveBehavior { anger_threshold: 0.6 },emotional,80,0,80,false,0.000,-0.480,0.916,-0.190,0.000,0.480,-0.916,0.190,-0.110,0.397,anger
Escalating Aggression,random_selection,21,Player threatens physical harm (turn 21),Threat,0.000,-0.432,0.800,-0.171,0.000,0.432,-0.800,0.171,-0.099,0.351,anger,FleeBehavior { fear_threshold: 0.7 },emotional,100,0,100,false,0.000,-0.432,0.700,-0.371,0.000,0.432,-0.700,0.371,-0.070,0.376,anger
Escalating Aggression,random_selection,22,Player threatens physical harm (turn 22),Threat,0.000,-0.389,0.730,-0.334,0.000,0.389,-0.730,0.334,-0.063,0.363,anger,FleeBehavior { fear_threshold: 0.7 },emotional,100,0,100,false,0.000,-0.389,0.630,-0.534,0.000,0.389,-0.630,0.534,-0.035,0.388,anger
Escalating Aggression,random_selection,23,Player threatens physical harm (turn 23),Threat,0.000,-0.350,0.667,-0.480,0.000,0.350,-0.667,0.480,-0.031,0.374,anger,FleeBehavior { fear_threshold: 0.7 },emotional,100,0,100,false,0.000,-0.350,0.567,-0.680,0.000,0.350,-0.567,0.680,-0.003,0.399,anticipation
Escalating Aggression,random_selection,24,Player threatens physical harm (turn 24),Threat,0.000,-0.315,0.610,-0.612,0.000,0.315,-0.610,0.612,-0.003,0.384,anticipation,ThoughtfulPauseBehavior,neutral,12,0,12,false,0.000,-0.315,0.610,-0.612,0.000,0.315,-0.610,0.612,-0.003,0.384,anticipation
Escalating Aggression,random_selection,25,Player threatens physical harm (turn 25),Threat,0.000,-0.283,0.649,-0.551,0.000,0.283,-0.649,0.551,-0.002,0.371,anger,AggressiveBehavior { anger_threshold: 0.6 },emotional,80,0,80,false,0.000,-0.483,0.799,-0.551,0.000,0.483,-0.799,0.551,-0.059,0.458,anger
